a, COCA/CET/HS
airfare, COCA
law-abiding, COCA
circumference, GRE/COCA/TOEFL
paltry, GRE/COCA
cross-sectional, COCA
frond, GRE/COCA
mournful, GRE/COCA
demonic, COCA
lithium, COCA
steeply, COCA
sh, COCA
pruning, COCA
pretzel, COCA
swirling, COCA
riveting, GRE/COCA
gash, GRE/COCA/TOEFL
annihilation, COCA
berate, GRE/COCA/TOEFL
testicle, COCA
hatchery, COCA
Israeli-Palestinian, COCA
unending, COCA
misread, COCA
relapse, GRE/COCA/TOEFL
aria, GRE/COCA
baboon, COCA
authoritarianism, COCA
succinctly, COCA
bough, GRE/COCA
reassemble, COCA
giving, COCA
slosh, GRE/COCA
springboard, COCA
ref, COCA
ideologue, COCA
structurally, COCA
self-consciousness, COCA
unannounced, COCA
puny, GRE/COCA
encampment, COCA
unchallenged, COCA
recline, GRE/COCA
zenith, GRE/COCA
reheat, COCA
unassuming, GRE/COCA
faceless, COCA
deconstruct, COCA
drool, GRE/COCA
self-destructive, COCA
treated, COCA
projectile, GRE/COCA
domesticated, COCA
soundly, COCA
insurmountable, COCA
unbiased, COCA/TOEFL
catheter, COCA
seedy, COCA
shambles, GRE/COCA
outdo, COCA
pulley, GRE/COCA
panacea, GRE/COCA/TOEFL
encapsulate, GRE/COCA
finality, COCA
acuity, GRE/COCA
machete, COCA
chariot, COCA
chewing, COCA
powered, COCA
nightstand, COCA
defector, COCA
impressed, GRE/COCA
payday, COCA
orgy, COCA
inconsequential, GRE/COCA
wrongful, COCA
disprove, GRE/COCA/TOEFL
silt, GRE/COCA/TOEFL
evaluator, COCA
jumpsuit, COCA
well-dressed, COCA
health-related, COCA
secularism, COCA
realignment, COCA
ruefully, COCA
feral, GRE/COCA
genteel, GRE/COCA/TOEFL
t-test, COCA
chafe, GRE/COCA/TOEFL
overseer, COCA
sidekick, COCA
assail, GRE/COCA
reconstitute, GRE/COCA
sterilization, COCA
dill, COCA
liquidity, COCA
tenderloin, COCA
punctuation, COCA/HS
admiring, COCA
feisty, GRE/COCA
endearing, GRE/COCA
biz, COCA
co-write, COCA
tantalize, GRE/COCA/TOEFL
falcon, GRE/COCA
restaurateur, COCA
mirage, GRE/COCA
masquerade, GRE/COCA
tepid, GRE/COCA/TOEFL
forebear, GRE/COCA
surcharge, GRE/COCA
defenseless, COCA
dispenser, COCA
unfettered, COCA
belittle, GRE/COCA/TOEFL
margarita, COCA
fatten, GRE/COCA
alleyway, COCA
schoolgirl, COCA/HS
char, GRE/COCA
constrict, GRE/COCA/TOEFL
coursework, COCA
smudge, GRE/COCA
top-down, COCA
lifeboat, COCA
uprooted, COCA
irritated, COCA
boisterous, GRE/COCA
environmentalism, COCA
passively, COCA
deceptively, COCA
bile, GRE/COCA
burrito, COCA
oriented, COCA
ominously, COCA
anchovy, COCA
demeaning, COCA
plunder, GRE/COCA
router, COCA
eccentricity, COCA
coolness, COCA
dammit, COCA
hangout, COCA
time-honored, COCA
kennel, GRE/COCA/TOEFL
underly, COCA
weeping, COCA
sizzle, COCA
studied, GRE/COCA
roil, GRE/COCA
Panamanian, COCA
responder, COCA
pernicious, GRE/COCA
trespass, GRE/COCA
commercialization, COCA
profusion, COCA
waterfowl, COCA
Mayan, COCA
incongruous, COCA/TOEFL
unambiguous, COCA
indigent, GRE/COCA/TOEFL
epidemiological, COCA
stand-alone, COCA
throwback, GRE/COCA
misplaced, COCA
nanotechnology, COCA
fetish, GRE/COCA
mismatch, COCA
Ramadan, COCA
two-year-old, COCA
dispersion, COCA
consternation, GRE/COCA
ferocity, COCA
belligerent, COCA/TOEFL
plod, GRE/COCA
purported, GRE/COCA
lifeguard, COCA
downpour, GRE/COCA
enshrine, GRE/COCA
pseudonym, GRE/COCA
caterer, COCA
cross-section, COCA
nave, COCA
homey, COCA
sundown, COCA
e-commerce, COCA
smartly, COCA
depose, GRE/COCA
mastermind, GRE/COCA
inset, COCA
flak, GRE/COCA
assumed, COCA
scab, GRE/COCA
promenade, GRE/COCA
disillusionment, COCA
manor, COCA
lynching, COCA
recuperate, GRE/COCA
pretentious, GRE/COCA/TOEFL
overhang, COCA
gynecologist, COCA
aural, COCA
lexicon, GRE/COCA
gauntlet, COCA
ever-increasing, COCA
second-class, COCA
feathered, COCA
autocratic, COCA
nautical, GRE/COCA
subsystem, COCA
handiwork, COCA
flashing, COCA
untrained, COCA
hand-painted, COCA
first-degree, COCA
abundantly, COCA
placate, GRE/COCA/TOEFL
al-Qaeda, COCA
confirmed, COCA
crashing, COCA
unsolicited, COCA
whirlpool, GRE/COCA
class-action, COCA
engross, GRE/COCA/TOEFL
embattled, COCA
sassy, COCA
unstoppable, COCA
psycho, COCA
jogger, COCA
insurrection, GRE/COCA
bassist, COCA
matter-of-factly, COCA
twinge, GRE/COCA
windowless, COCA
hostel, COCA
subtext, COCA
semi-automatic, COCA
extradition, COCA
bourgeoisie, COCA
dank, GRE/COCA/TOEFL
dryly, COCA
protectionism, COCA
disrespectful, COCA/TOEFL
jasmine, COCA
persistently, COCA
comfy, COCA
Passover, COCA
assent, GRE/COCA
knocking, COCA
mitt, COCA
blogger, COCA
functionally, COCA
incoherent, COCA/TOEFL
extrinsic, GRE/COCA
jettison, GRE/COCA
poetics, COCA
rant, GRE/COCA
rigidly, COCA
surgically, COCA
digitally, COCA
junta, COCA
foreclose, GRE/COCA
passivity, COCA
snare, GRE/COCA
chagrin, GRE/COCA
aft, COCA
unanticipated, COCA
off-road, COCA
incandescent, COCA
re-enact, COCA
nothingness, COCA
messaging, COCA
look-alike, COCA
yoke, GRE/COCA
scrambled, COCA
fostering, COCA
molding, GRE/COCA
leaguer, COCA
cardigan, COCA
rescind, GRE/COCA
tanned, COCA
gruff, GRE/COCA
unintentionally, COCA
tainted, COCA
sweatshop, COCA
slog, GRE/COCA/TOEFL
moot, COCA
corrosive, GRE/COCA/TOEFL
silverware, COCA
expletive, COCA
lettering, COCA
judgmental, COCA
mythological, COCA
allegorical, COCA
wholeness, COCA
exiled, COCA
bereft, GRE/COCA
self-respect, COCA
tax-exempt, COCA
multiracial, COCA
indeterminate, GRE/COCA
tramp, GRE/COCA
cross-examination, COCA
tracker, COCA
bequeath, GRE/COCA
long-awaited, COCA
parasitic, COCA/TOEFL
taxing, GRE/COCA
baroque, GRE/COCA
disingenuous, COCA
shrivel, GRE/COCA
motley, GRE/COCA
leaving, COCA
forestall, GRE/COCA/TOEFL
resettlement, COCA
laity, GRE/COCA
trembling, COCA
womanhood, COCA
filtration, COCA
elaborately, COCA
convection, COCA/TOEFL
haphazard, GRE/COCA/TOEFL
three-fourths, COCA
teasing, COCA
retailing, COCA
midpoint, COCA
touchy, GRE/COCA/TOEFL
eroding, COCA
hydroelectric, COCA
Chechen, COCA
heretofore, COCA
sojourn, GRE/COCA/TOEFL
inappropriately, COCA
sordid, GRE/COCA
ventilator, COCA
colorless, COCA
harbinger, GRE/COCA
vagaries, COCA
kimono, COCA
unmistakably, COCA
superfluous, GRE/COCA
congenial, GRE/COCA/TOEFL
itinerant, GRE/COCA/TOEFL
astrophysicist, COCA
eviction, GRE/COCA
banjo, COCA
fanatical, COCA
noisily, COCA
asymmetrical, COCA
papaya, COCA
starkly, COCA
motherfucker, COCA
nutshell, COCA
slaughterhouse, COCA
starlight, COCA
banal, GRE/COCA
affable, GRE/COCA/TOEFL
derby, COCA
undercurrent, COCA
catwalk, COCA
largemouth, COCA
doomed, COCA/TOEFL
agreed, COCA
arbitrator, COCA/TOEFL
monastic, COCA
purportedly, COCA
hitting, COCA
unwieldy, GRE/COCA
brine, COCA
uneasiness, COCA
meringue, COCA
barbershop, COCA/HS
jaded, GRE/COCA
vindication, GRE/COCA
self-consciously, COCA
lazily, COCA
Salvadoran, COCA
tryout, COCA
at-large, COCA
outstrip, GRE/COCA
reposition, COCA
indignity, GRE/COCA/TOEFL
trapped, COCA
eminently, COCA
sweetener, COCA
contending, COCA
gymnast, COCA
adoration, COCA
uncharted, COCA
falsify, GRE/COCA
worshiper, COCA
affront, GRE/COCA
encroachment, COCA
mutt, COCA
principled, COCA
magnate, GRE/COCA
stigmatize, GRE/COCA
fullback, COCA
okra, COCA
corduroy, COCA
misrepresent, GRE/COCA
two-part, COCA
authorship, COCA
cheeseburger, COCA
blue-green, COCA
curbside, COCA
kiln, COCA/TOEFL
dissimilar, COCA/TOEFL
abatement, COCA
Mexican-American, COCA
deluge, GRE/COCA
how-to, COCA
heartache, COCA
airspace, COCA/HS
hated, COCA
manicure, COCA
raven, COCA
storybook, COCA
cleanly, COCA
rabid, GRE/COCA
indecent, COCA/TOEFL
deconstruction, COCA
dandelion, COCA
shuttered, COCA
settled, GRE/COCA
buttress, GRE/COCA
cacophony, GRE/COCA
ground-based, COCA
long-running, COCA
detest, GRE/COCA/TOEFL
wager, COCA
woolly, COCA
fervently, COCA
roost, COCA
subversion, COCA
virtuoso, GRE/COCA
mutate, GRE/COCA
all-night, COCA
burdensome, COCA
sauna, COCA
unattended, COCA
lightness, COCA
invading, COCA
spotless, COCA
rousing, COCA
upsetting, COCA
incessantly, COCA/TOEFL
diagonally, COCA
gelatin, COCA
urinary, COCA
duality, COCA
wandering, COCA
schoolyard, COCA
interfaith, COCA
student-athlete, COCA
earshot, GRE/COCA
high-resolution, COCA
citywide, COCA
stoic, GRE/COCA
redden, COCA
Darwinian, COCA
indiscriminate, COCA
co-chair, COCA
rapture, COCA/TOEFL
granulate, GRE/COCA
ordered, COCA
squawk, COCA
goldfish, COCA
brook, GRE/COCA
experimentally, COCA
audacious, GRE/COCA
exasperated, COCA
skiff, GRE/COCA
crewman, COCA
belatedly, COCA
respirator, COCA
flounder, GRE/COCA/TOEFL
geothermal, COCA
aggravated, COCA
galvanized, COCA
abrasive, GRE/COCA
high-stakes, COCA
interlude, GRE/COCA/TOEFL
despicable, GRE/COCA/TOEFL
sprinter, COCA
preventable, COCA
chum, COCA
canola, COCA
dietitian, COCA
inflection, COCA
maneuvering, COCA
snippet, COCA
uncontrollably, COCA
litmus, COCA
beeper, COCA
heartily, COCA
frenetic, GRE/COCA
feudal, COCA/TOEFL
conifer, GRE/COCA
inanimate, GRE/COCA/TOEFL
self-government, COCA
daydream, COCA
clueless, COCA
goblet, GRE/COCA
moustache, COCA/HS
yelp, COCA/TOEFL
wimp, COCA
betrayed, COCA
dissonance, COCA
refractor, COCA
geologic, COCA
elucidate, GRE/COCA/TOEFL
lubricant, GRE/COCA/TOEFL
fuselage, COCA
single-parent, COCA
down-to-earth, GRE/COCA
stir-fry, COCA
accession, COCA
universality, COCA
topless, COCA
vernacular, GRE/COCA
stratosphere, COCA
epistemology, COCA
spying, COCA
derailleur, COCA
astounded, COCA
milling, COCA
numbness, COCA
reload, COCA
liberalize, COCA
sultan, COCA
mutiny, COCA
confectioner, COCA
dead-end, COCA
gunpoint, COCA
octopus, COCA/TOEFL
MRI, COCA
greenish, COCA
talon, GRE/COCA
self-reliance, COCA
patently, COCA
comforter, COCA
wispy, GRE/COCA/TOEFL
expound, GRE/COCA/TOEFL
Labour, COCA
modulate, GRE/COCA/TOEFL
adjourn, GRE/COCA/TOEFL
macro, COCA
putative, GRE/COCA
dominion, COCA/TOEFL
popularly, COCA
radial, COCA
foreboding, COCA
foundational, COCA
spool, GRE/COCA
quagmire, GRE/COCA
risotto, COCA
rationalization, COCA
all-important, COCA
anti-inflammatory, COCA
mobster, COCA
sounding, COCA
oncologist, COCA
mink, COCA
valiant, GRE/COCA/TOEFL
collusion, COCA
schoolboy, COCA/HS
bombshell, COCA
betting, COCA
alienated, COCA
tidbit, COCA
dogmatic, COCA/TOEFL
imam, COCA
PVC, COCA
grandpa, COCA/HS
hallowed, GRE/COCA
leveraged, COCA
aesthetically, COCA
navigator, COCA
half-mile, COCA
barb, GRE/COCA
concentric, GRE/COCA
fondle, GRE/COCA
functionality, COCA
landed, COCA
metaphorically, COCA
cam, COCA
rump, COCA
shh, COCA
lymphoma, COCA
raider, COCA
amphibian, GRE/COCA
thong, COCA
ethicist, COCA
outflow, COCA
coca, COCA
wearer, COCA
silo, COCA
firefly, GRE/COCA
saffron, COCA
worksheet, COCA
slugger, COCA
matron, COCA
matte, GRE/COCA
carelessly, COCA
accredit, COCA
Zulu, COCA
categorically, COCA
intercollegiate, COCA
dupe, GRE/COCA
beret, COCA
orally, COCA
well-documented, COCA
electrify, COCA
storied, COCA
emissary, GRE/COCA
trove, COCA
mackerel, COCA
liquidate, GRE/COCA
tinted, COCA
blanch, GRE/COCA
posterity, COCA/TOEFL
stumbling, COCA
methamphetamine, COCA
figuratively, COCA
bullish, GRE/COCA
cappuccino, COCA
beefy, COCA
whiz, COCA
fixing, COCA
umbilical, COCA
monsoon, GRE/COCA
Libyan, COCA
blue-eyed, COCA
antecedent, GRE/COCA
clover, COCA
avatar, COCA
totem, GRE/COCA
first-person, COCA
obstetrician, COCA
suffrage, GRE/COCA
frugal, GRE/COCA/TOEFL
entryway, COCA
scrimmage, COCA
geranium, COCA
misrepresentation, GRE/COCA
rusher, COCA
callous, GRE/COCA
pubic, COCA
rudder, GRE/COCA
wannabe, COCA
user-friendly, COCA
kindle, GRE/COCA/TOEFL
syphilis, COCA
unsteady, COCA
cornstarch, COCA
illustrious, GRE/COCA/TOEFL
mediocrity, GRE/COCA
decrepit, GRE/COCA
LSD, COCA
mitten, GRE/COCA
grub, COCA
firestorm, COCA
turn-of-the-century, COCA
able-bodied, COCA
paneling, COCA
radicalism, COCA
dandy, GRE/COCA
seclusion, COCA/TOEFL
rhino, COCA
abject, GRE/COCA
applicability, COCA
calibration, COCA
Anglo-American, COCA
roving, COCA
environs, GRE/COCA
big-city, COCA
quartz, COCA/TOEFL
moviegoer, COCA
transcendental, GRE/COCA
equestrian, GRE/COCA
skinhead, COCA
redress, GRE/COCA/TOEFL
turtleneck, COCA
skitter, COCA
untested, COCA
jackpot, COCA
cupcake, COCA
tangy, GRE/COCA
jock, COCA
immobile, COCA/TOEFL
dot-com, COCA
demoralize, GRE/COCA
chastity, COCA
amends, COCA
decadent, COCA
Aztec, COCA
leasing, COCA
motorcade, COCA
exorbitant, GRE/COCA/TOEFL
mandated, COCA
executioner, COCA
televise, COCA
baffling, COCA
destitute, GRE/COCA
rumbling, COCA
dimple, GRE/COCA
liberally, COCA
skit, GRE/COCA
sobriety, GRE/COCA
peddler, COCA
feces, COCA
keg, COCA
synthesizer, COCA
inverse, GRE/COCA/TOEFL
intoxicate, GRE/COCA/TOEFL
grandkid, COCA
bottomless, COCA
clenched, COCA
voracious, GRE/COCA
paucity, GRE/COCA
cross-legged, COCA
embolden, GRE/COCA
crescendo, GRE/COCA
croak, GRE/COCA
lacy, COCA
pop-up, COCA
do-it-yourself, COCA
all-white, COCA
laughable, COCA
fruition, GRE/COCA
woodpecker, COCA
careen, GRE/COCA
extricate, GRE/COCA/TOEFL
tearful, COCA
rhubarb, GRE/COCA
intergovernmental, COCA
massively, COCA
depleted, COCA
identified, COCA
self-report, COCA
hesitantly, COCA
well-intentioned, COCA
seventeenth-century, COCA
panther, GRE/COCA
geyser, GRE/COCA
ruddy, GRE/COCA
amphitheater, COCA
carp, GRE/COCA/TOEFL
achievable, COCA
repent, GRE/COCA
karaoke, COCA
Slavic, COCA
raindrop, COCA
stateroom, COCA
cadaver, GRE/COCA
intifada, COCA
mysticism, COCA
oppositional, COCA
brooch, GRE/COCA
slink, GRE/COCA
released, COCA
remittance, GRE/COCA
Spanish-speaking, COCA
iridescent, GRE/COCA
lilac, COCA
glut, GRE/COCA
bookseller, COCA
newsprint, COCA
outrun, COCA
expectant, COCA
projecting, COCA
opulent, GRE/COCA
allowable, COCA
crossfire, COCA
fourth-quarter, COCA
enraged, COCA
songbird, COCA
drive-in, COCA
lowering, COCA
boob, COCA
editor-in-chief, COCA
sheaf, GRE/COCA
round-trip, COCA
infestation, COCA
sportswriter, COCA
ointment, GRE/COCA
unbridled, GRE/COCA
archer, GRE/COCA
immobilize, COCA
southward, COCA
spotty, COCA
meddle, GRE/COCA/TOEFL
hardball, COCA
surmount, GRE/COCA/TOEFL
free-standing, COCA
box-office, COCA
truckload, COCA
commensurate, GRE/COCA
autoimmune, COCA
revered, COCA
vegetative, COCA
outgrowth, GRE/COCA
PDA, COCA
break-in, COCA
nuanced, COCA
resale, COCA
summons, COCA
repellent, GRE/COCA
anaerobic, GRE/COCA
irreverent, COCA/TOEFL
hash, COCA
disengagement, COCA
hairdo, COCA
layering, COCA
abhor, GRE/COCA/TOEFL
deacon, COCA
micron, COCA
congruent, GRE/COCA
penance, GRE/COCA
bouncer, COCA
dud, COCA
flowered, COCA
heterogeneity, COCA
sleigh, GRE/COCA
anomalous, GRE/COCA/TOEFL
shelling, COCA
voodoo, COCA
catapult, GRE/COCA
unscrupulous, GRE/COCA
exhilaration, GRE/COCA
totalitarianism, COCA
East-West, COCA
liberated, COCA
typology, COCA
leery, GRE/COCA
legume, COCA
fowl, COCA/TOEFL
assuage, GRE/COCA/TOEFL
begging, COCA
audacity, COCA
arterial, COCA
ajar, COCA
perplexing, COCA
geriatric, COCA
lasagna, COCA
bulldoze, GRE/COCA
anorexia, GRE/COCA
movable, COCA
patronizing, COCA/TOEFL
smashing, COCA
ether, COCA
malevolent, GRE/COCA/TOEFL
seamlessly, COCA
catechism, COCA
thank-you, COCA
heft, COCA
meth, COCA
scrawny, COCA
distasteful, COCA
ruse, GRE/COCA
fibrous, GRE/COCA
artfully, COCA
campaigner, COCA
provenance, GRE/COCA
supercomputer, COCA
dialectical, COCA
gratuitous, GRE/COCA/TOEFL
gusto, GRE/COCA
humanistic, COCA
wheelbarrow, COCA
pique, GRE/COCA
one-room, COCA
treasured, COCA
crosstalk, COCA
impressionist, COCA
sporadically, COCA
dollop, COCA
echelon, COCA
adoring, COCA
goad, GRE/COCA
empathize, COCA
robotics, COCA
re-enactment, COCA
withering, COCA
etiology, COCA
restate, COCA
capitalization, COCA
sensing, COCA
secretion, COCA/TOEFL
Malaysian, COCA
contemptuous, GRE/COCA/TOEFL
atonement, COCA
precariously, COCA
latte, COCA
orbiter, COCA
unsuitable, COCA
flooded, COCA
cold-blooded, GRE/COCA
clothesline, COCA
daze, GRE/COCA/TOEFL
eight-year, COCA
mercifully, COCA
bedspread, COCA
exalted, COCA/TOEFL
kale, COCA
stalker, COCA
unitary, COCA
tirade, GRE/COCA
irate, GRE/COCA
walled, COCA
unfulfilled, COCA
sunburn, COCA
haggle, GRE/COCA/TOEFL
mirrored, COCA
gobbler, COCA
ramble, GRE/COCA
old-growth, COCA
craggy, COCA
maim, GRE/COCA/TOEFL
lefty, COCA
step-by-step, COCA
separating, COCA
godfather, COCA
umm, COCA
communique, COCA
intergenerational, COCA
squeaky, COCA
halter, COCA
framer, COCA
outlast, COCA
constitutionality, COCA
sweating, COCA
overblown, COCA
lackluster, GRE/COCA
satchel, COCA
resettle, COCA
transducer, COCA
splay, COCA
posse, GRE/COCA
naivete, COCA
slow-moving, COCA
circumscribe, GRE/COCA/TOEFL
pita, COCA
unwritten, COCA
tried, COCA
marginalization, COCA
ethnographer, COCA
sod, GRE/COCA
door-to-door, COCA
Freudian, COCA
succulent, COCA
dainty, GRE/COCA
Olympian, COCA
bubbling, COCA
scruffy, GRE/COCA/TOEFL
venison, COCA
graphical, COCA
clapboard, COCA
numbered, COCA
counterattack, COCA
dismayed, COCA
classically, COCA
forged, COCA
opine, GRE/COCA
hyperactivity, GRE/COCA
fastener, COCA
six-pack, COCA
eddy, GRE/COCA
rhetorically, COCA
meningitis, COCA
mastectomy, COCA
pesky, GRE/COCA
fast-moving, COCA
sagging, COCA
harmonica, COCA
next-door, COCA
jittery, COCA
thrilled, COCA
Franciscan, COCA
sender, COCA
scented, COCA
marginalized, COCA
enunciate, GRE/COCA/TOEFL
self-imposed, COCA
upper-class, COCA
stunted, COCA
postpartum, COCA
draconian, GRE/COCA
reprieve, GRE/COCA
candidly, COCA
moat, GRE/COCA
lined, COCA
antigen, COCA
forty-three, COCA
interweave, GRE/COCA
judicious, GRE/COCA
bigot, GRE/COCA
interminable, GRE/COCA
affiliated, COCA
evocation, COCA
rioting, COCA
choppy, COCA
precipitous, COCA
merciless, COCA
orchestral, COCA
bouncing, GRE/COCA
absurdly, COCA
depositor, COCA
apostolic, COCA
amputee, COCA
distributed, COCA
institutionalization, COCA
progeny, GRE/COCA
sanguine, GRE/COCA
latter-day, COCA
collapsing, COCA
ablaze, COCA/TOEFL
sideshow, GRE/COCA
enforcer, COCA
deprived, COCA
schoolwork, COCA
lingo, COCA
retake, COCA
entwine, GRE/COCA
unbutton, COCA
lavishly, COCA
chameleon, GRE/COCA
raze, GRE/COCA/TOEFL
improvised, GRE/COCA
blowout, COCA
unbalanced, COCA
programmatic, COCA
bruising, COCA
tusk, GRE/COCA
ordained, COCA
uterine, COCA
caddie, COCA
yardstick, COCA
strangeness, COCA
substandard, COCA
epicenter, COCA
didactic, GRE/COCA
militiaman, COCA
sneaky, COCA
convulsion, GRE/COCA
co-host, COCA
nape, COCA
loath, GRE/COCA/TOEFL
mid-century, COCA
tailback, COCA
streamer, COCA
snowshoe, COCA
symbiotic, COCA
campaigning, COCA
regress, GRE/COCA
topsoil, COCA/TOEFL
headboard, COCA
rationing, COCA
axial, COCA
withholding, COCA
rote, GRE/COCA
phosphate, COCA
unsavory, COCA
ten-year-old, COCA
hah, COCA
drug-related, COCA
amputate, GRE/COCA
councilman, COCA
gunpowder, COCA
first-generation, COCA
snowboard, COCA
intricately, COCA
parlance, GRE/COCA
disclaimer, GRE/COCA
khakis, COCA
swordfish, COCA
supremely, COCA
white-haired, COCA
operatic, COCA
peculiarly, COCA
Irishman, COCA
debatable, COCA/TOEFL
evaluative, COCA
uninterested, COCA
reschedule, COCA
thermos, COCA/HS
commander-in-chief, COCA
discerning, GRE/COCA
skateboard, COCA/HS
hermit, GRE/COCA
impel, GRE/COCA/TOEFL
test-retest, COCA
justly, COCA/TOEFL
condiment, GRE/COCA/TOEFL
rapt, GRE/COCA
anathema, GRE/COCA
quid, COCA
disaffected, COCA
everlasting, GRE/COCA
blinking, COCA
close-knit, COCA
firewall, COCA
coy, GRE/COCA
chisel, GRE/COCA
crosswise, COCA
surreptitiously, COCA
axiom, GRE/COCA
rile, GRE/COCA
implausible, GRE/COCA
sensuality, COCA
red-hot, COCA
stilt, COCA
whereupon, COCA
absolve, GRE/COCA/TOEFL
pompous, GRE/COCA
chromium, COCA
prohibited, COCA
drive-by, COCA
optimization, GRE/COCA
overheated, COCA
beau, COCA
taper, GRE/COCA
nullify, GRE/COCA
psychedelic, COCA
crucify, COCA
garish, GRE/COCA
malt, COCA
washed, COCA
regrettably, COCA
alchemy, GRE/COCA
condor, GRE/COCA
materialistic, COCA
splitting, COCA
tubular, COCA
exasperate, GRE/COCA/TOEFL
profusely, COCA
digger, COCA
riverboat, COCA
necktie, COCA
devotional, GRE/COCA
kink, COCA
grating, GRE/COCA
shoddy, GRE/COCA
decorum, GRE/COCA/TOEFL
halibut, COCA
drowsy, COCA/TOEFL
scriptural, COCA
floured, COCA
millisecond, COCA
officiate, COCA
jeez, COCA
squabble, GRE/COCA/TOEFL
spilled, COCA
matinee, COCA
gallant, GRE/COCA/TOEFL
wedlock, COCA
inasmuch, COCA
co-chairman, COCA
unmatched, COCA
eon, COCA
gargantuan, GRE/COCA
suffuse, GRE/COCA/TOEFL
lawless, COCA
checkered, GRE/COCA
aquaculture, COCA
corona, COCA/TOEFL
signifier, COCA
unconcerned, COCA
retard, GRE/COCA/TOEFL
hyperbole, GRE/COCA
theorem, COCA
gawk, COCA
tribulation, GRE/COCA
bowler, COCA
lockout, COCA
second-generation, COCA
inflexible, COCA/TOEFL
docking, COCA
nominally, COCA
gendered, COCA
unsustainable, COCA
velvety, GRE/COCA
uplift, COCA
knitting, COCA
CPA, COCA
frailty, COCA
mathematically, COCA
inaccuracy, COCA
peptide, COCA
rafting, COCA
paratrooper, COCA
dopamine, COCA
sunlit, COCA/TOEFL
physiologist, COCA
maestro, GRE/COCA
ladle, GRE/COCA
sturgeon, COCA
constructivist, COCA
futurist, COCA
mutilation, COCA
brownstone, COCA
balmy, GRE/COCA/TOEFL
desolation, COCA
allay, GRE/COCA/TOEFL
radiance, COCA
harrowing, GRE/COCA
reticent, GRE/COCA
drawl, GRE/COCA
criminally, COCA
repentance, COCA
unrecognized, COCA
busted, COCA
aghast, GRE/COCA/TOEFL
aggregation, COCA
sheepishly, COCA
undiscovered, COCA
enmity, GRE/COCA
cannibalism, COCA/TOEFL
airstrike, COCA
cicada, COCA
gregarious, GRE/COCA/TOEFL
outwardly, COCA
surly, GRE/COCA
tuft, COCA
ramshackle, GRE/COCA
liqueur, COCA
invisibility, COCA
pursuer, COCA
ebony, COCA
hour-long, COCA
ancillary, GRE/COCA
dungeon, COCA/TOEFL
computer-based, COCA
dynamism, COCA
retainer, GRE/COCA
firecracker, COCA
vilify, GRE/COCA
subdivide, COCA
spraying, COCA
spousal, COCA
slain, COCA
cancerous, COCA
hulking, COCA
islander, COCA
stripped, COCA
supremacist, COCA
fortitude, GRE/COCA/TOEFL
fiesta, COCA
restlessness, COCA
distal, GRE/COCA
rinsed, COCA
abolitionist, COCA
extra-virgin, COCA
ballgame, COCA
medium-low, COCA
overcast, COCA
carmaker, COCA
low-wage, COCA
incurable, COCA
tumbler, COCA
wristwatch, COCA
ouster, COCA
hilt, GRE/COCA
open-minded, COCA
organically, COCA
cognac, COCA
forty-four, COCA
behest, COCA
unyielding, COCA
cabaret, COCA
herpes, COCA
derogatory, GRE/COCA
weasel, GRE/COCA
trivialize, COCA
adhesive, GRE/COCA/TOEFL
defraud, GRE/COCA/TOEFL
amalgam, GRE/COCA
Likert-type, COCA
school-age, COCA
inwardly, COCA
articulated, COCA
cystic, COCA
personification, GRE/COCA
intensively, COCA
awkwardness, COCA
disinfectant, GRE/COCA
jurist, COCA
co-pilot, COCA
courtly, COCA
sizzling, COCA
hemorrhage, GRE/COCA
all-day, COCA
claimant, COCA
baste, GRE/COCA/TOEFL
promiscuous, COCA
carol, GRE/COCA
holocaust, GRE/COCA/TOEFL
life-saving, COCA
centuries-old, COCA
dictum, GRE/COCA
historiography, COCA
ricotta, COCA
empathetic, COCA
seeing, COCA
penicillin, GRE/COCA/TOEFL
exalt, GRE/COCA/TOEFL
readable, COCA
hyena, COCA
rallying, COCA
afield, COCA
daffodil, COCA
technicality, COCA
memorialize, COCA
PSI, COCA
viciously, COCA
dehydrate, GRE/COCA
reverend, COCA
tightening, COCA
outhouse, COCA
carousel, COCA
basal, COCA
alight, COCA
spiky, COCA
cheddar, COCA
subsist, GRE/COCA/TOEFL
fruity, COCA
untenable, COCA
corset, COCA
assessor, COCA
referent, COCA
pester, GRE/COCA
disorderly, COCA
loathing, COCA
platonic, GRE/COCA
rebuke, GRE/COCA/TOEFL
smattering, GRE/COCA
mean-spirited, COCA
resigned, GRE/COCA
christen, COCA
actuator, COCA
grapevine, COCA
cog, COCA
innermost, COCA
incipient, GRE/COCA/TOEFL
disparage, GRE/COCA/TOEFL
aerodynamic, COCA
paralyzed, COCA
rippling, COCA
horny, COCA
waistband, COCA
capricious, GRE/COCA
shaping, COCA
enforced, COCA
sharpness, COCA
politicization, COCA
well-worn, COCA
musing, COCA
world-famous, COCA
melodramatic, COCA
sapphire, GRE/COCA/TOEFL
Ponce, COCA
snappy, GRE/COCA
undaunted, COCA/TOEFL
hotbed, COCA
stampede, GRE/COCA
pacifist, GRE/COCA
exhortation, COCA
needlessly, COCA
rev, COCA
peacemaker, COCA
moniker, COCA
allergen, COCA
treachery, GRE/COCA
congregational, COCA
colt, GRE/COCA
misbehavior, COCA
Inca, COCA
genial, GRE/COCA/TOEFL
parent-child, COCA
magnolia, COCA
inhalation, COCA
